Age,Screen_Time,Phone_Unlocks,Social_Media_Usage,Gaming_Hours,Streaming_Hours,Messaging_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Anxiety_Score,Stress_Level,Age_First_Phone,Notifications_Per_Day
34,5.45,109,2.15,2.12,2.05,1.98,6.73,0.95,14.52,81.41,95.95,17,63
66,9.69,83,1.24,1.58,1.85,2.15,6.76,0.96,75.76,13.34,32.51,11,75
32,7.23,77,2.07,0.66,3.28,0.66,6.71,0.83,92.29,11.02,34.39,14,68
46,9.25,65,2.59,0.99,0.74,1.09,4.96,0.49,47.99,82.24,55.28,15,120
27,4.56,98,1.34,3.93,3.21,1.65,6.23,1.18,80.13,94.74,42.98,8,82
37,6.17,54,3.43,1.07,1.67,1.94,7.97,0.77,65.88,2.02,76.9,14,92
25,6.53,75,1.52,-0.13,-1.03,1.34,7.56,1.76,21.55,41.51,2.16,19,116
57,6.44,49,1.77,0.89,1.81,0.94,6.51,-0.01,65.48,81.61,58.22,17,144
31,8.83,120,0.99,1.03,2.06,1.14,6.1,0.43,66.24,89.56,70.19,13,126
34,9.2,30,2.71,0.24,1.65,1.88,8.51,0.65,36.67,45.73,59.98,11,152
16,5.1,69,2.82,2.06,1.93,0.75,6.98,1.24,88.38,47.69,98.91,8,59
21,5.63,60,-0.04,1.09,3.39,2.25,7.06,1.03,7.33,69.04,62.79,14,84
25,5.09,64,4.05,2.61,-0.48,1.62,4.94,0.5,31.06,39.36,30.55,20,107
25,3.2,69,3.31,1.78,2.24,1.15,6.94,0.33,62.13,46.93,49.47,18,67
59,5.25,91,1.85,0,0.59,1.22,5.9,1.5,50.48,38.26,70.9,16,58
14,7.28,101,1.19,2.02,0.65,2.23,7.51,-0.84,30.22,65.14,34.35,12,76
50,4.63,118,3.4,4.86,1.97,2.31,6.26,0.33,65.63,46.05,87.64,13,122
42,5.99,87,-0.37,1.43,2.78,1.68,8.21,0.25,61.22,83.18,45.3,12,74
23,5.22,74,2.7,0.41,-0.51,0.76,6.56,0.06,13.94,65.65,14.5,18,99
55,6.72,63,0.25,1.1,-0.06,1.81,5.24,0.19,29.64,39.98,6.84,14,119
50,6.58,114,1.79,1,0.93,1.27,4.84,-0.04,93.9,3.7,83.94,20,90
59,8.95,105,1.05,1.96,1.17,1.92,5.22,1.33,31.85,42.08,56.05,15,74
55,6.12,77,3.24,2.05,0.72,0.86,6.63,0.69,52.36,84.1,16.22,16,91
13,6.81,63,4.07,0.89,0.67,1.43,7.07,0.85,94.57,11.24,18.05,9,114
39,4.09,84,2.99,0.55,1.73,1.35,7.22,1.16,27.86,66.16,67.93,8,105
65,4.27,50,1.89,2.75,2.68,1.5,7.57,0.7,87.39,37.88,38.73,14,101
44,9.74,78,3.01,1.5,2.25,1.31,8.08,1.55,7.9,77.9,68.99,14,48
16,6.28,101,2.08,1.34,2.26,1.34,5.48,1.93,77.04,54.35,27.69,13,145
47,4.07,46,2.28,1.09,2.98,1.15,6.98,1.03,62.33,63.37,63.99,16,126
29,3.71,89,3.17,3.63,1.5,1.45,5.45,0.58,64.9,86.44,35.29,8,107
29,7.7,122,3.59,1.33,1.7,1.84,6.25,0.88,55.45,62.99,56.5,16,139
38,4.63,94,1.13,0.79,3.15,1.13,7.16,0.74,88.53,64.86,46.61,15,99
68,9.6,56,1.56,1.24,1.35,0.9,6.81,0.72,53.56,21.4,89.63,19,105
63,5.22,100,0.79,0.36,2.05,1.41,7.09,-0.09,94.09,7.84,60.8,18,104
41,5.99,72,1.75,1.33,0.36,2.18,6.58,1.2,22.03,77.63,65.72,8,71
40,4.53,64,2.24,1.73,2.11,1.47,6.72,1.23,6.98,81.48,77.15,8,112
26,5.68,87,1.92,0.56,4.27,0.96,5.51,1.12,27.36,1.06,19.54,14,89
46,4.61,109,1.97,1.24,2.36,0.95,6.77,1.33,94.44,51.26,50.02,13,44
59,6.8,31,1.81,2.72,2.64,1.71,5.14,0.94,79.7,51.55,84.52,14,75
12,9.8,88,2.53,1.3,3.14,1.82,6.05,0.39,0.28,12.46,94.93,19,121
45,4.96,94,1.24,0.64,2.58,1.52,7.94,0.94,16.4,49.18,83.53,9,92
12,6.69,90,2.12,1.18,1.97,1.58,6.53,1.23,41.23,60.25,20.71,20,86
31,7.48,57,0.78,2.53,3.32,1.96,6.41,1.88,13.82,84.26,71.97,20,126
13,4.67,58,0.8,1.61,2.4,1.19,6.3,0.96,20.18,52.43,27.53,17,107
43,8,54,1.7,2.51,2.81,2.41,5,1.94,82.65,4.67,34.74,12,80
45,4.51,74,1.2,1.77,2.1,0.82,7.41,1.1,24.87,99.35,41.89,10,84
34,6.09,80,3.49,1.53,2.42,1.77,5.37,0.66,59.94,96.74,66.08,12,80
41,7.27,51,2.02,1.41,2.96,0.75,7.16,0.52,27.59,45.01,34.64,16,109
46,9.73,113,2.01,0.51,1.01,2.05,7.42,1.47,54.86,10.79,1.23,15,108
65,9.15,61,1.78,2.55,1.62,1.43,7.28,0.9,19.26,63.03,1.79,18,104
61,2.84,74,1.01,2.07,1.8,1.7,8.08,1.34,81.58,64.41,57.63,11,124
68,4.89,9,3.03,2.51,2.64,0.66,6.62,0.41,91.48,16.22,38.25,20,108
29,6.85,81,2.78,0.16,1.19,1.81,7.63,0.98,81.2,85.37,10.32,18,85
33,7.67,51,1.63,1.11,0.96,2.63,6.67,0.6,9.33,26.87,14.66,9,109
44,5.64,33,0.29,2.67,2.06,1.11,8.92,0.37,0.6,44.1,26.55,17,137
55,3.88,98,2.73,1.76,0.72,1.5,5.24,0.69,20.28,9.75,36.84,8,43
47,4.02,106,1.91,1.74,1.38,1.88,7.34,0.9,75.96,14.22,23.79,19,69
52,9.93,97,3.25,0.92,3.18,1.74,7.93,1.15,50.73,0.92,53.7,12,137
46,3.4,101,3.38,2.17,1.21,1.37,5.11,1.12,53.55,23.35,20.23,20,96
30,6.64,102,3.78,0.92,1.65,1.59,6.44,0.64,69.32,25.37,26.99,12,159
67,2.32,38,0.92,1.85,3.54,1.47,5.7,1.4,56.09,98.9,72.57,10,81
22,5.51,1,2.22,1.16,1.56,0.64,6.65,0.98,57.3,65.39,35.96,16,114
25,7.53,66,1.04,2.06,1.68,1.67,7.74,0.57,65.38,22.9,91.08,18,87
31,5.37,47,2.36,1.12,3.24,1.35,8.74,1.49,57.79,93.01,68.94,13,76
42,5.25,66,2.52,-0.17,1.2,1.77,4.29,0.65,25.76,21.7,95.88,8,139
23,1.29,99,0.36,1.92,1.45,1.77,7.15,0.35,71.77,38.64,70.23,16,57
54,3.56,114,1.87,1.68,1.56,1.57,6.11,1.02,32.09,60.37,76.5,20,116
27,5.3,97,1.59,3.11,0.62,1.33,6.76,0.35,33.45,16.18,97.11,17,117
29,6.05,125,1.4,2.3,3.01,0.71,4.52,1.83,75.48,36.31,5.37,15,133
56,5.33,26,3,1.67,2.44,1.84,6.66,0.84,27.97,92.6,33.94,19,84
18,6.39,68,2,2.3,1.42,1.08,6.67,0.77,89.8,18.08,95.48,13,100
21,6.67,115,1.7,1.44,1.31,1.36,6.63,0.62,29.21,60.9,76.13,16,127
66,2.36,96,2.53,1.86,0.35,1.58,6.77,0.67,81.16,88.33,32.06,8,94
59,7.8,87,2.7,1.42,0.95,2.13,6.02,1.1,48.49,37.87,1.82,11,78
54,8.75,91,2.38,-0.18,1.11,1.31,4.59,0.29,15.1,91.16,93.06,16,83
40,6.72,85,2.11,2.68,2.38,1.21,6.55,0.34,54.54,97.88,72.87,15,65
15,6.52,65,2.71,1.04,0.39,1.55,6.76,1.16,95.81,39.46,32.69,19,74
58,5.22,73,2.95,2.26,3.53,1.36,6.38,1.03,27.49,91.96,64.11,20,49
29,9.34,122,2.48,1.95,3.96,0.61,7.48,1.17,89.99,46.44,93.37,15,124
50,2.66,99,2.21,1.48,3.08,0.78,7.17,1.16,31.21,83.87,82.27,8,113
68,6.63,80,2.18,1.53,1.66,1.47,6.92,0.9,97.82,51.88,47.92,11,106
41,6.32,131,1.73,1.17,0.03,1.4,6.67,1.64,37.41,68.23,88.43,18,105
24,3.94,68,2.47,-0.01,1.98,1.32,8.18,0.5,84.04,52.52,15.3,8,61
16,4.41,68,2.26,0.33,1.89,2.11,5.87,0.33,6.99,11.84,4.51,16,99
21,1.76,79,3.89,1.46,1.11,1.63,5.3,0.21,70.44,25.77,24.76,11,149
33,8.12,98,1.54,0.75,2.57,0.93,6.29,0.84,62.71,44.01,65.42,18,79
16,6.48,51,2.74,-0.05,2.43,1.27,4.54,0.77,25.31,94,22.32,9,140
36,7.64,132,1.36,1.28,0.77,1.81,5.33,1.25,62.06,98.94,76.29,15,92
66,7.15,72,-0.68,1.43,2.94,1.03,6.23,1.03,29.44,90.38,14.26,20,87
31,5.73,44,0.17,2.59,1.8,2,6.98,0.65,89.82,89.38,39.39,20,145
58,4.97,82,1.59,0.59,2.32,1.42,6.87,0.5,80.87,68.34,36.14,13,165
56,6.16,105,-0.53,1.8,0.63,1.54,7.37,1.22,56.55,8.76,9.73,12,104
39,10.01,62,2.66,1.55,1.52,2.25,8.02,0.97,99.1,10.38,72.53,16,97
14,5.74,96,2.08,2.2,0.69,0.96,8.81,0.64,73.99,22.93,30.42,10,113
43,8.71,36,0.14,2.33,0.97,0.88,7.13,0.78,33.72,11.77,96.29,16,130
13,4.61,88,2.42,1.7,2.99,1.85,5.38,1.08,77.76,22.89,41.86,17,65
54,5.24,91,0.86,1.69,2.48,2.08,7.6,1.51,31.03,28.12,62.76,18,127
24,6.52,82,3.89,0.93,1.02,1.43,5.5,-0.35,45.68,9.28,68.17,17,136
21,5.31,92,1.68,2.78,1.37,1.31,6.04,0.63,86.26,11.82,82.02,8,56
40,8.75,91,0.95,0.9,1.9,1.93,6.16,0.08,73.5,93.04,93.65,17,68
53,9.05,42,1.68,1.89,-0.27,2.44,6.39,1.8,71.2,37.34,6.67,18,71
17,8.52,64,0.76,2.4,1.97,0.39,6.92,1.11,82.83,34.35,53.37,17,132
17,7.11,7,2.2,1.16,3.57,1.97,5.81,1.69,95.15,67.72,43.98,18,131
14,7.13,24,2.27,1.65,0.33,1.08,7.04,0.63,77.79,97.82,47.75,18,146
49,4.93,49,2.35,0.57,2.32,2,6.92,0.89,57.23,73.64,61.37,14,144
60,9.66,71,1.47,2.69,0.83,1.66,5.67,0.47,24.37,55.28,4.35,20,91
57,3.81,78,1.63,0.8,1.64,1.57,6.7,0.98,16.96,74.16,30.15,16,88
67,2.19,68,1.29,4.08,1.11,1.32,5.24,1.34,53.63,53.82,20.58,13,100
68,6.29,128,4.17,1.26,2.12,1.86,6.79,0.66,61.13,98,69.23,16,67
43,2.68,75,1.47,2.96,1.95,1.36,5.75,1.17,80.2,32.42,18.5,20,117
19,4.81,121,0.67,-0.21,2.78,1.96,5.73,2.35,48.57,14.13,50.53,9,82
37,4.32,122,1.34,-0.08,3.09,1.64,6.97,0.94,31.57,5.66,45.61,12,198
22,9.1,66,1.74,1.56,1.29,2.16,6.35,0.25,20.61,78.04,70.29,8,110
58,8.68,90,2.97,2.43,1.14,1.59,7.72,1.17,64.34,31.88,30.87,20,132
36,7.26,69,1.49,0.79,3.61,1.08,5.81,0.9,30.24,85.6,71.44,17,94
67,6.35,57,0.97,1.72,1.15,1.2,6.96,0.81,51.01,13.54,43.93,11,48
41,6.7,74,2.34,0.66,2.79,1.06,6.17,1.39,41.19,41.16,80.63,19,79
60,5.11,106,2.47,-0.29,2.6,1.81,7.37,1.31,87.4,51.17,23.53,18,128
69,7.57,102,1.01,1.85,4.17,2.08,5.52,1.01,21.04,82.94,68.94,20,181
62,6.88,121,1.35,0.38,2.12,1.35,6.84,1.1,41.5,90.2,89.32,9,52
26,5.87,100,1.57,1.15,3.85,2.39,6.62,1.01,20.37,55.09,24.83,18,73
12,8.75,74,3.07,0.39,1.41,2.07,5.56,0.93,52.51,25.79,72.82,10,98
22,5.28,80,3.21,-0.44,0.82,1.01,6.31,1.58,34.49,85.67,35.64,9,146
39,7.19,50,2.84,2.79,2.39,1.09,5.95,0.71,39.92,20.47,17.66,9,129
28,6.29,87,3.38,1.33,1.58,1.11,7.32,0.21,83.06,74.77,41.81,12,135
31,6.91,145,1.2,-0.78,3.13,1.06,7.4,-0.07,96.93,65.3,68.07,8,112
46,5.27,79,0.73,2.65,2.66,1.48,6.08,0.25,0.27,56.5,43.79,19,104
49,8.15,108,2.47,0.37,2.31,0.83,5.5,1.44,17.03,55.73,8.35,10,114
67,7.95,32,0.16,2.54,2.58,1.8,5.55,0.7,83.46,72.77,61.95,17,107
68,8.07,74,1.82,1.46,0.78,1.56,7.02,1.09,75.84,72.47,34.09,16,112
24,5.77,59,2.55,1.97,0.69,1.6,5.88,0.89,12.71,32.93,39.24,16,103
59,7.95,80,2.83,2.21,1.45,0.7,4.78,0.58,67.25,80.21,41.69,20,91
47,6.79,72,1.79,0.54,3.01,1.21,7.68,0.72,56.06,26.46,39.59,13,70
42,9.66,92,1.92,1.64,2.08,1.45,7.18,0.83,22.51,23.28,90,16,87
68,5.61,48,0.72,1.73,3.58,1.43,5.6,0.75,87.1,4.55,10.21,18,64
21,5.78,95,1.67,1.97,1.73,1.39,7.39,1.67,32.86,8.29,36.31,14,76
51,5.6,40,0.16,2.71,1.71,1.19,6.17,0.41,77.28,55.89,19.16,20,63
17,7,85,4.63,1.64,0.93,1.2,4.53,1.03,0.02,32.77,38.01,15,84
42,5.43,70,2.24,3.53,2.3,2.21,5.91,0.75,16.95,42.58,29.11,15,89
65,11.68,96,2.09,1.78,1.26,1.84,6.97,1.24,97.94,90.44,51.38,9,94
34,9.1,73,0.96,1.06,0.98,1.64,7.43,0.29,87.17,86.51,28.24,16,90
40,5.94,104,2.16,3.04,1.22,2.31,7.14,0.66,78.21,51.97,66.5,19,76
54,8.54,101,1.06,1.12,2.58,1.24,7.78,1.67,18.95,43.15,94.96,11,104
63,5.41,85,2.05,1.03,1.72,0.71,6.31,0,39.32,59.11,21.71,13,83
68,6.76,79,0.42,1.74,2.14,1.4,7.44,1.01,7.13,7.57,17.43,17,98
63,7.68,67,2.93,1.82,3.15,1.83,6.64,0.81,38.72,8.28,90.31,18,87
56,5.82,65,0.5,1.2,2.02,2.05,5.73,2.56,75.12,70.99,52.03,20,96
26,3.57,85,0.16,0.01,3.98,1.69,7.13,1.1,47.43,95.52,49.75,11,42
69,7.68,68,2.46,2.8,2.07,2.16,6.07,0.84,2.28,97.56,21.72,13,136
13,4.32,93,1.43,1.84,2.11,1.57,6.93,0.31,32.28,31.88,85.02,14,116
37,6.25,69,4.28,0.45,1.63,1.55,5.64,0.28,37.11,4.43,73.23,16,114
68,5.56,66,0.88,1.95,3.32,1.05,4.68,0.85,74.39,63.12,92.03,13,183
60,6.87,128,0.79,1.02,2.63,0.96,7.2,0.84,10.07,7.24,36.15,19,89
65,7.89,75,-0.13,2.32,2.53,1.64,6.94,0.8,39.63,61.42,76.7,13,54
28,10.77,85,1.22,0.29,2.54,1.46,4.67,1.02,1.11,64.22,66.3,12,39
65,4.54,85,3.04,0.5,0.33,1.19,7.77,1.73,23.38,34.36,15.5,18,70
26,8.19,39,1.15,1.97,2.17,2.43,6.95,0.61,95.78,88.19,81.58,12,119
42,7.16,80,1.42,2.02,1.39,1.31,6.53,1.66,36.8,51.74,3.31,17,103
46,5.1,71,0.38,1.98,1.59,2.06,7.25,0.55,53.61,90.19,99.28,12,68
17,5.28,99,1.96,1.05,-0.14,1.4,6.06,1.73,29.23,41.22,51.56,8,179
62,3.72,30,2.71,2.56,2.74,0.49,8.33,0.93,33.23,10.04,27.48,13,149
25,5.07,68,2.75,0.91,1.88,1.4,6.79,0.93,88.08,73.04,81.65,12,79
28,7.93,59,3.28,1.67,2.18,1.68,5.54,1.27,22.16,28.23,20.25,12,82
65,6.56,58,1.84,0.92,2.5,0.98,7.63,1.11,94.53,88.7,28.52,13,132
22,6.13,89,2.27,1.69,2.92,1.78,6.12,0.87,49.7,29.87,29.53,19,94
60,8.12,64,0.2,2.24,1.94,2.47,4.48,0.59,30.93,52.32,0.63,17,87
29,7.28,103,3.38,2.05,2.82,1.61,4.75,0.17,79.48,36.81,36.96,10,55
35,5.88,103,2.45,2.11,-0.04,0.83,7.67,1.17,21,85.26,99.86,20,70
38,5.98,34,1.56,1.68,2.52,1.41,7.01,1.1,92.9,14.57,45.66,11,130
56,2.42,69,0.34,0.52,2.83,2.76,7.25,1.28,0.02,76,89.49,19,139
31,6.15,70,1.57,0.56,1.23,1.52,6.58,1.12,28.07,8.89,80.04,20,139
46,2.11,51,2.49,2,2.74,1.73,6.17,1.05,9.05,23.33,24.86,16,68
18,8.88,73,2.64,1.78,3.01,1.84,6.38,1.9,17.76,40.01,30.1,9,61
30,7.54,120,1.52,2.8,3.79,1.18,6.86,2.46,20.37,36.96,8.37,12,93
28,2.49,62,3.67,0.48,1.73,1.82,8.88,1.12,48.57,68.18,30.89,17,58
68,3.32,78,1.48,3.4,0.06,1.96,7.55,0.62,52.16,86.28,51.66,15,114
23,7.83,42,3.09,1.61,2.76,1.31,6.91,1.11,33.63,49.45,68.24,19,122
59,2.83,70,3.01,1.96,2.93,1.77,5.49,1.93,61.65,11.83,57.15,10,137
35,3.52,74,0.48,1.28,-0.39,1.54,5.78,1.2,44.88,10.99,43.48,15,120
62,9.02,98,3.13,1.83,0.66,1.74,7.69,0.24,51.69,64.29,60.2,17,116
65,6.37,89,1.66,-0.55,0.29,0.79,8.08,1.23,56.32,20.02,23.5,18,96
16,1.57,94,1.01,2.07,1.38,1.53,6.52,0.8,54.54,91.08,46.58,17,96
25,5.5,89,-0.04,2.87,2.76,2.23,6.71,1.43,33.66,21.3,50.12,20,95
50,7.46,79,2.29,2.8,0.19,1.95,7.78,1.59,90.39,53.45,69.01,13,140
57,9.73,129,2.03,1.25,2.61,1.44,7.08,2.46,49.45,45.23,45.78,13,106
60,5.4,101,1.47,1.33,2.17,1,7.91,0.76,88.78,97.28,53.81,8,104
52,6.95,91,1.69,0.14,2.78,1.92,8.91,1.67,0.7,63.71,4.73,16,72
31,2.49,76,0.71,2.27,1.02,1.01,7.69,1.84,66.57,60.46,63.99,17,98
43,4.84,109,1.92,-0.15,2.5,0.25,7.48,0.84,91,15.52,51.97,12,97
46,4.04,95,2.75,2,0.36,1.79,5.43,0.99,90.96,78.95,49.53,8,148
20,5.94,88,2.75,-1.09,1.81,1.33,7.07,0.55,37.13,80.38,10.3,15,113
30,3.43,98,1.85,0.21,2.88,1.01,6.17,1.22,25.59,83.98,86.58,19,97
70,5.61,95,3.04,-0.21,4.13,1.58,5.99,1.45,57.32,57.3,75.67,9,110
33,8.49,86,1.83,0.18,2.47,1.97,4.22,0.95,17.66,5.71,1.37,16,91
52,4.55,53,1.83,2.82,3.71,2.02,7.26,0.43,4.99,14.99,80.05,13,101
49,9.56,79,1.57,0.69,3.01,1.62,6.5,0.28,76.49,53.36,35.35,15,125
30,5.57,88,2.93,2.5,0.22,0.89,4.86,1.72,34.32,64,15.31,8,92
15,6.04,74,0.57,1.89,1.06,1.95,6.01,0.78,71.95,37.19,15.95,15,68
17,7.48,100,2.88,1.76,1.48,1.72,5.72,0.66,81.87,67.68,68.11,10,74
18,4.52,87,2.42,1.59,3.13,1.24,7.6,0.81,27.97,6.56,18.5,20,70
55,2.59,59,3.52,2.09,4.31,1.79,7.21,1.74,9.99,36.05,70.08,13,122
57,3.92,129,1.59,0.67,2.3,1.34,4.91,1.53,74.62,37.42,86.45,8,138
48,8.03,81,2.36,-0.21,2.87,2.82,6.67,1.19,72.55,1.45,30.9,8,79
69,4.65,71,3.95,1.11,0.49,1.6,4.53,1.33,39.58,55.51,15.92,17,110
40,6.99,96,1.66,3.01,1.25,1.85,6.74,0.89,14.17,48.51,94.56,10,100
33,6.64,104,4.84,1.14,1.62,1.85,6.05,0.39,68.58,18.52,4.03,20,85
50,5.52,72,1.16,-0.46,3.97,1.67,5.28,0.35,26.6,44.99,2.68,10,100
49,4.05,81,2.58,1.67,3.22,1.55,5.97,2.25,5.67,70.03,77.47,17,93
47,6.09,81,3.08,2.33,2.95,1.88,6.32,0.97,45.57,3.41,7.9,8,99
60,5.42,56,2.96,1.74,2.57,1.72,6.71,0.98,41.27,75.65,44.67,14,141
47,5.61,88,0.39,0.59,2.4,2.05,5.65,1.64,84.92,56.11,72.24,14,55
58,8.5,118,2.13,1.03,0.45,2.36,7.16,0.65,69.95,14.69,98.25,16,110
25,7.64,90,3.82,1.62,1.68,1.27,6.28,0.74,18.71,5.74,50.12,18,54
29,7.85,70,0.67,2.35,1.08,0.67,6.26,1.01,41.06,47.83,51.93,19,159
69,3.23,69,3.3,3.13,2.17,0.78,8.85,1.44,48.56,95.15,93.4,16,92
56,4.49,64,2.4,3.19,1.27,1.53,6.19,1.06,29.32,70.37,29.83,13,95
62,5.92,83,0.59,1.13,0.93,2.36,6.22,1.74,20.12,50.86,68.53,20,89
44,2.79,70,1.94,0.67,-0.1,0.95,6.09,1.1,37.22,39.92,73.47,20,69
29,6.1,98,2.38,2.27,1.41,0.87,6.29,0.88,53.78,45.67,5.32,12,178
41,6.6,75,2.2,2.62,1,0.9,6.43,1.54,70.56,13.96,82.06,17,149
24,6.3,28,-0.03,1.11,2.97,1.88,8.16,1.98,44.28,67.79,46.92,15,76
42,8.08,76,0.5,1.87,2.14,1.87,6.81,0.84,86.52,92.39,81.88,11,46
32,9.99,51,1.51,0.74,2.29,1.3,5.44,1.12,60.9,8.52,72.27,14,121
34,4.04,107,2.47,-0.14,1.42,1.6,6.32,0.69,94.19,90.75,12.51,10,105
19,2.99,80,-0.16,3.32,0.54,1.73,5.7,1.31,43.91,87.17,75.04,8,56
60,4.55,65,1.97,0.81,2.06,0.72,5.45,1.71,41.57,45.13,62.39,17,91
43,9.83,68,1.64,1.3,3.38,2,6.11,0.52,48.02,76.96,46.05,19,116
21,4.75,110,2.95,1.59,1.78,0.71,5.63,1.62,79.09,77.72,11.24,9,150
64,9.02,79,3.35,1.89,2.34,1.13,7.85,0.43,3.56,32.88,37.16,13,128
64,5.71,67,3.34,2.69,2.5,1.94,4.55,1.33,2.78,42.73,35.14,9,68
27,2.62,56,-0.3,0.41,1.82,2.74,5.78,1.42,77.01,83.09,41.57,11,93
27,3.45,88,0.44,1.56,1.94,1.82,7.71,0.33,62.67,58.98,57.99,15,116
67,6.1,84,2.64,1.79,2.73,2.35,5.04,0.63,21.33,38.48,11.16,9,92
22,8.22,108,1.53,1.14,2.26,1.67,5.39,0.43,46.37,35.81,25.36,17,101
34,8.9,89,2.32,2.15,2.08,2.66,6.55,0.69,46.28,72.83,43.13,12,72
59,5.9,48,2.95,2.59,1.74,1.01,5.63,0.63,12.12,41.94,4.58,17,52
67,8.23,46,3.03,0.89,3.09,1.24,4.78,1.32,46.72,87.86,89.83,9,166
17,3.11,67,1.4,-1.67,3.67,1.32,4.88,0.41,62.31,31.32,3.91,20,108
61,5.42,40,1.76,-0.37,1.37,1.6,7.99,0.37,71.85,60.38,12.15,11,132
42,5.26,90,0.44,1.41,1.89,1.22,4.81,1.44,85.04,91.33,83.71,19,44
58,7,123,1.45,1.7,1.85,1.35,6.09,0.58,73.31,19.12,34.27,20,107
